date,PPIACO,INDPRO,PAYEMS,WTISPLC,GDP,CPIAUCSL,BOGZ1FA895050005Q,GDPC1,UNRATE,PRS85006021,UMCSENT,DFF,CPILFESL,DSPIC96,PCE,PERMIT,W068RCQ027SBEA,DGS10,GFDEBTN,ICSA,shiller_PE,DXY,SP500
9/30/1976,0.012048193,0.01335129,0.004886965,0.047384278,0.018477249,0.015957447,0.016625861,0.005487058,0.022026432,-1,0.076830732,0.016956135,0.01638385,0.007798888,0.025910405,0.148264087,0.020979885,-0.005252578,0.022998491,0.024730754,0.011795167,-0.002284531,0.026275244
12/31/1976,0.008658009,0.018080178,0.006088407,0.090481172,0.025292093,0.014543339,0.024049637,0.00724851,0.004310345,#NAME?,-0.030100334,-0.077456386,0.013816926,0.006346498,0.029024278,0.107063197,0.017112681,-0.071647354,0.029686419,-0.00778513,-0.027580324,-0.006318428,-0.015958437
3/31/1977,0.021459227,0.020406545,0.010266044,0,0.028111337,0.018348624,0.058215691,0.011814836,-0.034334764,0.5,0.001149425,-0.043816575,0.016467916,0.002238501,0.029994689,0.049026192,0.024128771,0.024907008,0.023967818,0.03040408,-0.024853801,-0.003411286,-0.008453448
6/30/1977,0.024684874,0.031344209,0.013308978,0,0.033822476,0.017454955,0.059670173,0.019441131,-0.048888889,-0.666666667,0.035591274,0.10659545,0.016201117,0.009394061,0.02263475,0.084080239,0.018602187,0.0012298,0.007797288,-0.085665334,-0.048875562,-0.007321535,-0.026839937
9/30/1977,0.001537673,0.01082654,0.012736293,0.045563549,0.030431308,0.013835086,0.042888643,0.018043559,-0.03271028,0,-0.013303769,0.127764232,0.014293568,0.013886438,0.024601911,0.012007874,0.017625119,-0.000969702,0.036201208,-0.010826567,-0.025535939,-0.012477724,-0.010696788
12/31/1977,0.011258956,0.006273547,0.011794372,0.021788991,0.02161793,0.014737991,0.020571164,2.19E-05,-0.033816425,-0.25,-0.051685393,0.119470763,0.013550136,0.019119641,0.029450618,0.027621085,0.029551525,0.032379586,0.028766241,-0.021393992,-0.054674863,-0.027414314,-0.041119344
3/31/1978,0.024291498,-0.002929979,0.010377086,0,0.017784288,0.017213556,0.016482489,0.003191632,-0.05,2,-0.025276461,0.038126187,0.017647059,0.007868638,0.022066224,-0.001514291,0.019774352,0.054038337,0.026438814,0.009619866,-0.067761807,-0.044980777,-0.048922553
6/30/1978,0.03013834,0.040421418,0.018113583,0,0.058505239,0.022739291,0.089799935,0.038642702,-0.052631579,-0.777777778,-0.009319287,0.077384053,0.020493957,0.010588435,0.042367248,0.08,0.027790789,0.039693101,0.015005061,-0.097800423,0.044052863,-0.006602498,0.074728782
9/30/1978,0.015827338,0.008425001,0.010349702,0,0.027199821,0.023267839,0.034813599,0.010055171,0.005555556,-0.5,-0.013496933,0.111518013,0.021627188,0.007760331,0.021845921,-0.08232403,0.038024078,0.019198871,0.030065792,0.043464328,0.033403657,-0.048391605,0.059733892
12/31/1978,0.02266289,0.017633657,0.010331366,0,0.034193815,0.023244063,0.0410756,0.013441431,-0.022099448,0,-0.086235489,0.183209797,0.022177419,0.006577716,0.027110731,0.031752104,0.023682844,0.038853238,0.022893056,-0.001373915,-0.065328343,-0.031111514,-0.044812283
3/31/1979,0.036472761,0.004502755,0.008769216,0.044893378,0.020049262,0.025185185,0.008597335,0.001797873,-0.005649718,-3,-0.02722323,0.051723234,0.023175542,0.012098551,0.024167417,-0.133667037,0.012116938,0.032943755,0.009610913,0.054611375,-0.005096469,0.003770613,0.02260819
6/30/1979,0.03518931,-0.002176827,0.007376319,0.139634801,0.0255825,0.031791908,0.023219178,0.001069198,-0.028409091,-7.5,-0.067630597,0.010796525,0.023614458,-0.009001163,0.026695083,0.053070832,0.030017916,0.001045099,0.01019212,0.042973786,-0.020490304,0.018976319,0.017448744
9/30/1979,0.03141136,-0.003031966,0.005681101,0.446748351,0.029452229,0.032212885,0.026658913,0.007428715,0.029239766,-0.384615385,-0.04152076,0.074458094,0.025894539,0.004538027,0.034817779,-0.032107295,0.037424863,-0.002185478,0.026842653,0.034404615,0.011206575,-0.031381237,0.049886919
12/31/1979,0.035043805,0.003879335,0.003256487,0.205211726,0.021112138,0.031659882,0.003916666,0.00250075,0.017045455,-0.125,-0.027139875,0.241323808,0.030289123,0.00171543,0.026801224,-0.157883687,0.026635713,0.147639117,0.02250039,0.076080462,-0.041374215,0.004475324,-0.008875097
3/31/1980,0.046352277,0.004152709,0.003499849,0.162162162,0.024215064,0.039456379,0.018269408,0.003145191,0.055865922,0.142857143,0.021459227,0.10935446,0.036971047,0.003452275,0.028538629,-0.135627026,0.048323659,0.145426008,0.021695247,0.017582824,0.001156069,0.000255095,0.047388382
6/30/1980,0.020030817,-0.042171456,-0.004793217,0.102325581,0.002691909,0.033741038,-0.060714972,-0.020604722,0.164021164,0.375,-0.143382353,-0.159066042,0.033505155,-0.008770976,0.001409857,-0.196134987,0.03348882,-0.123637616,0.016402784,0.387049836,-0.058891455,0.005209395,-0.016550289
9/30/1980,0.032854985,-0.016866477,-0.004488337,-0.042194093,0.021138205,0.01876785,-0.01415856,-0.001188471,0.045454545,0.454545455,0.246474555,-0.224624764,0.014962594,0.011215069,0.034668857,0.474703983,0.036067521,0.044294386,0.034282726,-0.107133491,0.110429448,-0.027884883,0.136749767
12/31/1980,0.023034735,0.038682983,0.007506885,-0.039647577,0.045186336,0.02803364,0.084811285,0.018649256,-0.034782609,-0.3125,0.063453025,0.613822713,0.031122031,0.01377687,0.038590921,-0.027250608,0.015150406,0.13378657,0.024797813,-0.198854457,0.046040516,0.041439074,0.078605574
3/31/1981,0.030378842,0.00259076,0.004291278,0.04587156,0.046439911,0.027658746,0.092865863,0.019594295,0.004504505,-0.636363636,-0.052728955,0.04685155,0.023431295,-0.001391751,0.029387146,-0.0987994,0.05360692,0.043938473,0.03689597,-0.008249313,-0.043309859,0.062656197,-0.00955478
6/30/1981,0.022545959,0.002843646,0.002637663,-0.01754386,0.012267437,0.020849128,-0.015512637,-0.007410636,-0.004484305,-1,0.083007813,0.071788348,0.022118743,0.001165876,0.016899118,-0.073272273,0.014484732,0.060986908,0.006887285,0.00831793,-0.018034597,0.090623808,0.008937975
9/30/1981,0.006784261,0.009737234,0.002094363,-0.035714286,0.031012176,0.027849981,0.054246892,0.011975252,0,#NAME?,0.011722272,-0.010826788,0.033788914,0.021556974,0.021120517,-0.200059898,0.025207103,0.079907078,0.027472935,0.075527039,-0.084332834,0.067731027,-0.053380657
12/31/1981,-0.001010782,-0.022079449,-0.004358385,-0.018518519,0.006197922,0.016257225,-0.016125282,-0.010895641,0.112612613,2,-0.121657754,-0.227685522,0.019463827,0.001113739,0.008358585,-0.148259079,0.036375142,-0.048638287,0.030940367,0.144537242,-0.046663938,-0.042292061,-0.028493703
3/31/1982,0.008768971,-0.020254298,-0.006889843,-0.114245283,-0.00198609,0.008887309,-0.049649217,-0.015535445,0.072874494,1.833333333,0.01217656,0.045559173,0.012247839,0.002408235,0.020107035,0.095824176,0.018455096,0.010718599,0.031660428,0.047952345,-0.075998283,0.043984168,-0.066393533
6/30/1982,0.001003009,-0.012614761,-0.005302656,0.112472042,0.017612914,0.014446794,0.014521914,0.004561985,0.067924528,-0.647058824,-0.004010025,0.021589483,0.018505338,0.006045294,0.012660532,0.104693141,0.024549589,-0.022846127,0.01727223,0.089242575,-0.017657993,0.037235458,-0.000207015
9/30/1982,0.004342017,-0.014396321,-0.007607674,-0.006797511,0.01030921,0.017367141,0.003060731,-0.003822993,0.049469965,-0.666666667,0.007045798,-0.241244041,0.016771488,0.004789005,0.022553073,0.093681917,0.031128276,-0.059500768,0.05780221,0.049054142,-0.021759697,0.049849082,-0.002265853
12/31/1982,0.000997672,-0.018634557,-0.005979848,-0.021110468,0.010765162,0.003072721,-0.026571639,0.000399463,0.077441077,1,0.086456772,-0.15698254,0.003436426,0.003132245,0.028736275,0.238047809,0.030643891,-0.186772727,0.048193794,-0.038179331,0.200193424,0.01856849,0.202147163
3/31/1983,0.000332226,0.011296886,0.00200027,-0.123978336,0.020823139,0.000680735,0.022180222,0.013178476,-0.028125,-3.25,0.038638454,-0.067466971,0.006164384,0.009444652,0.018192552,0.172432287,0.019105154,-0.0100877,0.039612422,-0.174941815,0.083803384,-0.021558504,0.080858629
6/30/1983,0.003653271,0.02227874,0.007610572,0.029788669,0.03035487,0.011564626,0.071216833,0.022756124,-0.022508039,-0.444444444,0.216120461,0.016770519,0.00987066,0.006939085,0.029677439,0.144556267,0.008031213,-0.000556374,0.060336217,-0.039492243,0.092936803,0.030334868,0.101857738
9/30/1983,0.009596294,0.034204072,0.010348327,0.033511625,0.030828635,0.009751177,0.055080706,0.019990643,-0.075657895,1.4,-0.003641661,0.074454588,0.012470509,0.01498597,0.031326408,0.017785771,0.026593525,0.102976896,0.043672954,-0.116005874,0.010884354,0.046545707,0.015516871
12/31/1983,0.004916421,0.026012706,0.014024348,-0.054816223,0.028604467,0.00999001,0.077561349,0.020862175,-0.088967972,0.166666667,0.003654971,-0.002965006,0.01298269,0.022271868,0.022673391,-0.01610053,0.008126228,0.004534082,0.024317988,-0.070228867,-0.001682369,0.01140644,0.002186322
3/31/1984,0.011089367,0.029492538,0.01318458,0.012358923,0.029870035,0.014177382,0.077010456,0.019547703,-0.078125,0,0.087035688,0.027408245,0.013802169,0.019949211,0.019248332,0.103173019,0.016348457,0.02270046,0.037597593,-0.108684864,-0.038085608,0.010236714,-0.03250979
6/30/1984,0.006774194,0.015199838,0.011136615,0.00561835,0.025984032,0.009427828,0.033142883,0.017277927,-0.055084746,-0.071428571,-0.029480737,0.089399542,0.012317666,0.016644323,0.023861052,-0.035636758,0.022100979,0.105353668,0.033445808,0.05233853,-0.034688157,0.009535959,-0.028817448
9/30/1984,-0.002242871,0.006714096,0.009901937,-0.041622304,0.018617563,0.008695652,0.018867996,0.009640636,0,-0.846153846,0.023817742,0.079353779,0.012487992,0.01319283,0.015213528,-0.126242731,0.022363858,-0.025790409,0.039379995,0.053333333,0.022867514,0.065792053,0.030442012
12/31/1984,-0.002569043,0.0005696,0.008952712,-0.057505755,0.015743649,0.00862069,0.011432196,0.008208571,-0.01793722,-1,-0.039447067,-0.186949594,0.010120177,0.008169384,0.019189454,0.021683126,0.031664271,-0.086421485,0.057686767,0.051436608,0.025195174,0.040482507,0.029325109
3/31/1985,-0.00257566,0.003329103,0.006947775,-0.013877412,0.019673616,0.00918012,-0.002565262,0.009690723,-0.00913242,#NAME?,-0.005265005,-0.085008247,0.010958046,-0.002587717,0.02899041,0.060937172,0.019068896,-0.014808336,0.028722776,-0.053315498,0.068189685,0.061964547,0.072092033
6/30/1985,0.000968367,0.000910005,0.00722084,0.029833641,0.015299392,0.009096612,0.023641858,0.008804664,0.00921659,0,-0.001764291,-0.064980329,0.010529576,0.019461121,0.0173493,0.007922361,0.022428855,-0.065853186,0.037357714,0.034719419,0.031108231,-0.046652676,0.043136364
9/30/1985,-0.006772009,-0.001520961,0.005907974,-0.002369243,0.021394276,0.006216972,0.01766042,0.015271213,-0.01369863,-0.333333333,-0.015553199,-0.002955095,0.008887527,-0.003123034,0.026997129,0.06523875,0.02114009,-0.045081246,0.027308637,0.008388607,0.012256442,-0.065480188,0.020633267
12/31/1985,0.006168831,0.005848149,0.005968665,0.050447987,0.013066781,0.010194625,0.018245298,0.007433273,-0.023148148,0,-0.019030521,0.025753553,0.011543135,0.010569707,0.009161876,-0.03541782,0.015225488,-0.055093944,0.067379078,-0.007351519,0.036945048,-0.080768729,0.042784671
3/31/1986,-0.015166183,0.00602445,0.004158694,-0.417611528,0.014356132,0.005198777,0.011835696,0.009335247,0,1.5,0.049048316,-0.034248766,0.010810811,0.013148493,0.015914706,0.031554791,0.012904115,-0.122784476,0.021004737,-0.054570259,0.116766467,-0.067027318,0.116822954
6/30/1986,-0.018676278,-0.006079679,0.003409631,-0.18125674,0.008306761,-0.00486766,0.008194236,0.004503774,0.018957346,1.4,0.012909979,-0.116064935,0.008318479,0.012789045,0.009857276,0.00945495,0.016183027,-0.113112087,0.036507155,0.021438879,0.09919571,-0.044969242,0.09539482
9/30/1986,-0.004674457,0.003882498,0.004944139,-0.004310345,0.013712726,0.006114338,0.018994582,0.009569929,-0.027906977,0.083333333,-0.019979332,-0.102480156,0.009428403,0.006387797,0.023052464,-0.046464646,0.026735059,-0.038497131,0.032027111,0.022603431,-0.000487805,-0.051676544,0.002500296
12/31/1986,0.003690037,0.011338754,0.006498436,0.10954786,0.010842359,0.006988757,-0.000342443,0.005369857,-0.019138756,-0.230769231,-0.029525483,0.00922506,0.009632224,0.001514623,0.012203483,0.00577812,5.29E-05,-0.005671983,0.042126209,-0.0562463,0.01000488,-0.013194437,0.009890737
3/31/1987,0.011697861,0.013223697,0.006057726,0.185369026,0.01385448,0.012070006,0.0077596,0.007450196,-0.034146341,-0.8,-0.017022818,-0.007050489,0.008094825,0.009215437,0.010396911,-0.026618154,0.012683468,-0.009446877,0.014397912,-0.068172313,0.139647258,-0.066127974,0.147608012
6/30/1987,0.015857284,0.017800017,0.007814745,0.062263426,0.017789332,0.011329756,0.018884246,0.010788423,-0.050505051,-2,0.014738394,0.068692749,0.012044738,-0.009406197,0.023406514,-0.090497738,0.015513606,0.159447287,0.027850328,-0.037477558,0.042823829,-0.028984912,0.050107277
9/30/1987,0.011382114,0.018882181,0.007167507,0.052726709,0.016311359,0.010613208,0.017469114,0.008675669,-0.042553191,1,0.022875817,0.028506048,0.009351091,0.017929924,0.020960699,-0.0177374,0.009060916,0.063167702,0.017746101,-0.033807414,0.083960155,0.017599759,0.087761282
12/31/1987,0.004823151,0.023950688,0.00929668,-0.08414684,0.025271289,0.009334889,0.038778343,0.017170361,-0.027777778,0.25,-0.079872204,0.011712542,0.011510387,0.013481873,0.010778443,-0.064303017,0.019932757,0.029239447,0.034650384,-0.034266409,-0.202738185,-0.065654653,-0.198993941
3/31/1988,0.00576,0.009360614,0.007366904,-0.104751022,0.013054728,0.007803468,-0.017585749,0.005166542,-0.022857143,-2.2,0.06867284,-0.036669336,0.009714127,0.014673925,0.025685511,-0.009884679,0.008246035,-0.078657244,0.022961572,0.043228386,0.008468596,-0.023782747,0.010859705
6/30/1988,0.016544703,0.008671376,0.008205955,0.033923657,0.022995357,0.011471179,0.020761654,0.013139006,-0.040935673,-0.666666667,0.013357401,0.07335971,0.012094557,0.010297863,0.018513553,0.03589256,0.00895921,0.059670827,0.024162319,-0.030179641,0.008397481,0.005306092,0.018538383
9/30/1988,0.014084507,0.003712848,0.007037648,-0.122562352,0.017880223,0.012191664,0.002911312,0.005859283,0,0.5,0.026362665,0.115798682,0.011135253,0.009657784,0.021326366,-0.00527765,0.006999728,0.021400164,0.021402811,0.008891084,-0.000231321,0.078330511,0.013346104
12/31/1988,0.00462963,0.007028424,0.008050763,-0.031831871,0.02208549,0.01092437,0.025096248,0.013325006,-0.024390244,-0.666666667,-0.031586255,0.060750463,0.012087027,0.009443097,0.021604846,0.043829296,0.027579586,-0.016097442,0.031592321,-0.071428571,0.017121703,-0.047362191,0.030721342
